Plot,Sample #,Year,Genotype,Replicate,Derivation,Barcode,Date,RNAlater,Time,Temp. in C,Additional Notes:,info about qPCR at ARQ
38,233,2016,Mo030,A,2015_38self,38_A_233,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
38,234,2016,Mo030,B,2015_38self,38_B_234,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
38,235,2016,Mo030,C,2015_38self,38_C_235,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
38,236,2016,Mo030,D,2015_38self,38_D_236,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
38,237,2016,Mo030,A,2015_38self,38_A_237,6/21/16,No,1:00-1:30PM,29-31 C,,
38,238,2016,Mo030,B,2015_38self,38_B_238,6/21/16,No,1:00-1:30PM,29-31 C,,
38,239,2016,Mo030,C,2015_38self,38_C_239,6/21/16,No,1:00-1:30PM,29-31 C,,
38,240,2016,Mo030,D,2015_38self,38_D_240,6/21/16,No,1:00-1:30PM,29-31 C,,
39,241,2016,Mo031,A,2015_39self,39_A_241,6/11/16,No,1:00-3:00 PM,30-34 C,,
39,242,2016,Mo031,B,2015_39self,39_B_242,6/11/16,No,1:00-3:00 PM,30-34 C,,
39,243,2016,Mo031,C,2015_39self,39_C_243,6/11/16,No,1:00-3:00 PM,30-34 C,,
39,244,2016,Mo031,D,2015_39self,39_D_244,6/11/16,No,1:00-3:00 PM,30-34 C,,
39,245,2016,Mo031,A,2015_39self,39_A_245,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate1,
39,246,2016,Mo031,B,2015_39self,39_B_246,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
39,247,2016,Mo031,C,2015_39self,39_C_247,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
39,248,2016,Mo031,D,2015_39self,39_D_248,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
39,249,2016,Mo031,A,2015_39self,39_A_249,6/21/16,No,1:00-1:30PM,29-31 C,,
39,250,2016,Mo031,B,2015_39self,39_B_250,6/21/16,No,1:00-1:30PM,29-31 C,,
39,251,2016,Mo031,C,2015_39self,39_C_251,6/21/16,No,1:00-1:30PM,29-31 C,,
39,252,2016,Mo031,D,2015_39self,39_D_252,6/21/16,No,1:00-1:30PM,29-31 C,,
42,253,2016,Mo032,A,2015_42self,42_A_253,6/11/16,No,1:00-3:00 PM,30-34 C,,
42,254,2016,Mo032,B,2015_42self,42_B_254,6/11/16,No,1:00-3:00 PM,30-34 C,,
42,255,2016,Mo032,C,2015_42self,42_C_255,6/11/16,No,1:00-3:00 PM,30-34 C,,
42,256,2016,Mo032,D,2015_42self,42_D_256,6/11/16,No,1:00-3:00 PM,30-34 C,,
42,257,2016,Mo032,A,2015_42self,42_A_257,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
42,258,2016,Mo032,B,2015_42self,42_B_258,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
42,259,2016,Mo032,C,2015_42self,42_C_259,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
42,260,2016,Mo032,D,2015_42self,42_D_260,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
42,261,2016,Mo032,A,2015_42self,42_A_261,6/21/16,No,1:00-1:30PM,29-31 C,,
42,262,2016,Mo032,B,2015_42self,42_B_262,6/21/16,No,1:00-1:30PM,29-31 C,,
42,263,2016,Mo032,C,2015_42self,42_C_263,6/21/16,No,1:00-1:30PM,29-31 C,,
42,264,2016,Mo032,D,2015_42self,42_D_264,6/21/16,No,1:00-1:30PM,29-31 C,,
43,265,2016,Mo033,A,2015_43self,43_A_265,6/11/16,No,1:00-3:00 PM,30-34 C,,
43,266,2016,Mo033,B,2015_43self,43_B_266,6/11/16,No,1:00-3:00 PM,30-34 C,,
43,267,2016,Mo033,C,2015_43self,43_C_267,6/11/16,No,1:00-3:00 PM,30-34 C,,
43,268,2016,Mo033,D,2015_43self,43_D_268,6/11/16,No,1:00-3:00 PM,30-34 C,,
43,269,2016,Mo033,A,2015_43self,43_A_269,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
43,270,2016,Mo033,B,2015_43self,43_B_270,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
43,271,2016,Mo033,C,2015_43self,43_C_271,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
43,272,2016,Mo033,D,2015_43self,43_D_272,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
43,273,2016,Mo033,A,2015_43self,43_A_273,6/21/16,No,1:00-1:30PM,29-31 C,,
43,274,2016,Mo033,B,2015_43self,43_B_274,6/21/16,No,1:00-1:30PM,29-31 C,,
43,275,2016,Mo033,C,2015_43self,43_C_275,6/21/16,No,1:00-1:30PM,29-31 C,,
43,276,2016,Mo033,D,2015_43self,43_D_276,6/21/16,No,1:00-1:30PM,29-31 C,,
46,277,2016,Mo034,A,2015_46self,46_A_277,6/11/16,No,1:00-3:00 PM,30-34 C,,
46,278,2016,Mo034,B,2015_46self,46_B_278,6/11/16,No,1:00-3:00 PM,30-34 C,,
46,279,2016,Mo034,C,2015_46self,46_C_279,6/11/16,No,1:00-3:00 PM,30-34 C,,
46,280,2016,Mo034,D,2015_46self,46_D_280,6/11/16,No,1:00-3:00 PM,30-34 C,,
46,281,2016,Mo034,A,2015_46self,46_A_281,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
46,282,2016,Mo034,B,2015_46self,46_B_282,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
46,283,2016,Mo034,C,2015_46self,46_C_283,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
46,284,2016,Mo034,D,2015_46self,46_D_284,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
46,285,2016,Mo034,A,2015_46self,46_A_285,6/21/16,No,1:00-1:30PM,29-31 C,,
46,286,2016,Mo034,B,2015_46self,46_B_286,6/21/16,No,1:00-1:30PM,29-31 C,,
46,287,2016,Mo034,C,2015_46self,46_C_287,6/21/16,No,1:00-1:30PM,29-31 C,,
46,288,2016,Mo034,D,2015_46self,46_D_288,6/21/16,No,1:00-1:30PM,29-31 C,,
47,289,2016,Mo035,A,2015_47self,47_A_289,6/11/16,No,1:00-3:00 PM,30-34 C,,
47,290,2016,Mo035,B,2015_47self,47_B_290,6/11/16,No,1:00-3:00 PM,30-34 C,,
47,291,2016,Mo035,C,2015_47self,47_C_291,6/11/16,No,1:00-3:00 PM,30-34 C,,
47,292,2016,Mo035,D,2015_47self,47_D_292,6/11/16,No,1:00-3:00 PM,30-34 C,,
47,293,2016,Mo035,A,2015_47self,47_A_293,6/16/16,Yes,1:00-2:30 PM,32-34 C,,
47,294,2016,Mo035,B,2015_47self,47_B_294,6/16/16,Yes,1:00-2:30 PM,32-34 C,,
47,295,2016,Mo035,C,2015_47self,47_C_295,6/16/16,Yes,1:00-2:30 PM,32-34 C,,
47,296,2016,Mo035,D,2015_47self,47_D_296,6/16/16,Yes,1:00-2:30 PM,32-34 C,,
47,297,2016,Mo035,A,2015_47self,47_A_297,6/21/16,No,1:00-1:30PM,29-31 C,,
47,298,2016,Mo035,B,2015_47self,47_B_298,6/21/16,No,1:00-1:30PM,29-31 C,,
47,299,2016,Mo035,C,2015_47self,47_C_299,6/21/16,No,1:00-1:30PM,29-31 C,,
47,300,2016,Mo035,D,2015_47self,47_D_300,6/21/16,No,1:00-1:30PM,29-31 C,,
50,301,2016,Mo039,A,2015_50self,50_A_301,6/11/16,No,1:00-3:00 PM,30-34 C,,
50,302,2016,Mo039,B,2015_50self,50_B_302,6/11/16,No,1:00-3:00 PM,30-34 C,,
50,303,2016,Mo039,C,2015_50self,50_C_303,6/11/16,No,1:00-3:00 PM,30-34 C,,
50,304,2016,Mo039,D,2015_50self,50_D_304,6/11/16,No,1:00-3:00 PM,30-34 C,,
50,305,2016,Mo039,A,2015_50self,50_A_305,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
50,306,2016,Mo039,B,2015_50self,50_B_306,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
50,307,2016,Mo039,C,2015_50self,50_C_307,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
50,308,2016,Mo039,D,2015_50self,50_D_308,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
50,309,2016,Mo039,A,2015_50self,50_A_309,6/21/16,No,1:00-1:30PM,29-31 C,,
50,310,2016,Mo039,B,2015_50self,50_B_310,6/21/16,No,1:00-1:30PM,29-31 C,,
50,311,2016,Mo039,C,2015_50self,50_C_311,6/21/16,No,1:00-1:30PM,29-31 C,,
50,312,2016,Mo039,D,2015_50self,50_D_312,6/21/16,No,1:00-1:30PM,29-31 C,,
51,313,2016,Mo040,A,2015_51self,51_A_313,6/11/16,No,1:00-3:00 PM,30-34 C,,
51,314,2016,Mo040,B,2015_51self,51_B_314,6/11/16,No,1:00-3:00 PM,30-34 C,,
51,315,2016,Mo040,C,2015_51self,51_C_315,6/11/16,No,1:00-3:00 PM,30-34 C,,
51,316,2016,Mo040,D,2015_51self,51_D_316,6/11/16,No,1:00-3:00 PM,30-34 C,,
51,317,2016,Mo040,A,2015_51self,51_A_317,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
51,318,2016,Mo040,B,2015_51self,51_B_318,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
51,319,2016,Mo040,C,2015_51self,51_C_319,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
51,320,2016,Mo040,D,2015_51self,51_D_320,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
51,321,2016,Mo040,A,2015_51self,51_A_321,6/21/16,No,1:00-1:30PM,29-31 C,,
51,322,2016,Mo040,B,2015_51self,51_B_322,6/21/16,No,1:00-1:30PM,29-31 C,,
51,323,2016,Mo040,C,2015_51self,51_C_323,6/21/16,No,1:00-1:30PM,29-31 C,,
51,324,2016,Mo040,D,2015_51self,51_D_324,6/21/16,No,1:00-1:30PM,29-31 C,,
54,325,2016,Mo043,A,2011_29,54_A_325,6/11/16,No,1:00-3:00 PM,30-34 C,,
54,326,2016,Mo043,B,2011_29,54_B_326,6/11/16,No,1:00-3:00 PM,30-34 C,,
54,327,2016,Mo043,C,2011_29,54_C_327,6/11/16,No,1:00-3:00 PM,30-34 C,,
54,328,2016,Mo043,D,2011_29,54_D_328,6/11/16,No,1:00-3:00 PM,30-34 C,,
54,329,2016,Mo043,A,2011_29,54_A_329,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
54,330,2016,Mo043,B,2011_29,54_B_330,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
54,331,2016,Mo043,C,2011_29,54_C_331,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
54,332,2016,Mo043,D,2011_29,54_D_332,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
54,333,2016,Mo043,A,2011_29,54_A_333,6/21/16,No,1:00-1:30PM,29-31 C,,
54,334,2016,Mo043,B,2011_29,54_B_334,6/21/16,No,1:00-1:30PM,29-31 C,,
54,335,2016,Mo043,C,2011_29,54_C_335,6/21/16,No,1:00-1:30PM,29-31 C,,
54,336,2016,Mo043,D,2011_29,54_D_336,6/21/16,No,1:00-1:30PM,29-31 C,,
55,337,2016,Mo044,A,2015_55self,55_A_337,6/11/16,No,1:00-3:00 PM,30-34 C,,
55,338,2016,Mo044,B,2015_55self,55_B_338,6/11/16,No,1:00-3:00 PM,30-34 C,,
55,339,2016,Mo044,C,2015_55self,55_C_339,6/11/16,No,1:00-3:00 PM,30-34 C,,
55,340,2016,Mo044,D,2015_55self,55_D_340,6/11/16,No,1:00-3:00 PM,30-34 C,,
55,341,2016,Mo044,A,2015_55self,55_A_341,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
55,342,2016,Mo044,B,2015_55self,55_B_342,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
55,343,2016,Mo044,C,2015_55self,55_C_343,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
55,344,2016,Mo044,D,2015_55self,55_D_344,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
55,345,2016,Mo044,A,2015_55self,55_A_345,6/21/16,No,1:00-1:30PM,29-31 C,,
55,346,2016,Mo044,B,2015_55self,55_B_346,6/21/16,No,1:00-1:30PM,29-31 C,,
55,347,2016,Mo044,C,2015_55self,55_C_347,6/21/16,No,1:00-1:30PM,29-31 C,,
55,348,2016,Mo044,D,2015_55self,55_D_348,6/21/16,No,1:00-1:30PM,29-31 C,,
58,349,2016,Mo045,A,2015_58self,58_A_349,6/11/16,No,1:00-3:00 PM,30-34 C,,
58,350,2016,Mo045,B,2015_58self,58_B_350,6/11/16,No,1:00-3:00 PM,30-34 C,,
58,351,2016,Mo045,C,2015_58self,58_C_351,6/11/16,No,1:00-3:00 PM,30-34 C,,
58,352,2016,Mo045,D,2015_58self,58_D_352,6/11/16,No,1:00-3:00 PM,30-34 C,,
58,353,2016,Mo045,A,2015_58self,58_A_353,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
58,354,2016,Mo045,B,2015_58self,58_B_354,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
58,355,2016,Mo045,C,2015_58self,58_C_355,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
58,356,2016,Mo045,D,2015_58self,58_D_356,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
58,357,2016,Mo045,A,2015_58self,58_A_357,6/21/16,No,1:00-1:30PM,29-31 C,,
58,358,2016,Mo045,B,2015_58self,58_B_358,6/21/16,No,1:00-1:30PM,29-31 C,,
58,359,2016,Mo045,C,2015_58self,58_C_359,6/21/16,No,1:00-1:30PM,29-31 C,,
58,360,2016,Mo045,D,2015_58self,58_D_360,6/21/16,No,1:00-1:30PM,29-31 C,,
59,361,2016,Mo046,A,2015_59self,59_A_361,6/11/16,No,1:00-3:00 PM,30-34 C,,
59,362,2016,Mo046,B,2015_59self,59_B_362,6/11/16,No,1:00-3:00 PM,30-34 C,,
59,363,2016,Mo046,C,2015_59self,59_C_363,6/11/16,No,1:00-3:00 PM,30-34 C,,
59,364,2016,Mo046,D,2015_59self,59_D_364,6/11/16,No,1:00-3:00 PM,30-34 C,,
59,365,2016,Mo046,A,2015_59self,59_A_365,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
59,366,2016,Mo046,B,2015_59self,59_B_366,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
59,367,2016,Mo046,C,2015_59self,59_C_367,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
59,368,2016,Mo046,D,2015_59self,59_D_368,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
59,369,2016,Mo046,A,2015_59self,59_A_369,6/21/16,No,1:00-1:30PM,29-31 C,,
59,370,2016,Mo046,B,2015_59self,59_B_370,6/21/16,No,1:00-1:30PM,29-31 C,,
59,371,2016,Mo046,C,2015_59self,59_C_371,6/21/16,No,1:00-1:30PM,29-31 C,,
59,372,2016,Mo046,D,2015_59self,59_D_372,6/21/16,No,1:00-1:30PM,29-31 C,,
62,373,2016,Mo048,A,2014_31,62_A_373,6/11/16,No,1:00-3:00 PM,30-34 C,,
62,374,2016,Mo048,B,2014_31,62_B_374,6/11/16,No,1:00-3:00 PM,30-34 C,,
62,375,2016,Mo048,C,2014_31,62_C_375,6/11/16,No,1:00-3:00 PM,30-34 C,,
62,376,2016,Mo048,D,2014_31,62_D_376,6/11/16,No,1:00-3:00 PM,30-34 C,,
62,377,2016,Mo048,A,2014_31,62_A_377,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
62,378,2016,Mo048,B,2014_31,62_B_378,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
62,379,2016,Mo048,C,2014_31,62_C_379,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
62,380,2016,Mo048,D,2014_31,62_D_380,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
62,381,2016,Mo048,A,2014_31,62_A_381,6/21/16,No,1:00-1:30PM,29-31 C,,
62,382,2016,Mo048,B,2014_31,62_B_382,6/21/16,No,1:00-1:30PM,29-31 C,,
62,383,2016,Mo048,C,2014_31,62_C_383,6/21/16,No,1:00-1:30PM,29-31 C,,
62,384,2016,Mo048,D,2014_31,62_D_384,6/21/16,No,1:00-1:30PM,29-31 C,,
63,385,2016,Mo051,A,2015_63self,63_A_385,6/11/16,No,1:00-3:00 PM,30-34 C,,
63,386,2016,Mo051,B,2015_63self,63_B_386,6/11/16,No,1:00-3:00 PM,30-34 C,,
63,387,2016,Mo051,C,2015_63self,63_C_387,6/11/16,No,1:00-3:00 PM,30-34 C,,
63,388,2016,Mo051,D,2015_63self,63_D_388,6/11/16,No,1:00-3:00 PM,30-34 C,,
63,389,2016,Mo051,A,2015_63self,63_A_389,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
63,390,2016,Mo051,B,2015_63self,63_B_390,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
63,391,2016,Mo051,C,2015_63self,63_C_391,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
63,392,2016,Mo051,D,2015_63self,63_D_392,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
63,393,2016,Mo051,A,2015_63self,63_A_393,6/21/16,No,1:00-1:30PM,29-31 C,,
63,394,2016,Mo051,B,2015_63self,63_B_394,6/21/16,No,1:00-1:30PM,29-31 C,,
63,395,2016,Mo051,C,2015_63self,63_C_395,6/21/16,No,1:00-1:30PM,29-31 C,,
63,396,2016,Mo051,D,2015_63self,63_D_396,6/21/16,No,1:00-1:30PM,29-31 C,,
66,397,2016,Mo052,A,2015_66self,66_A_397,6/11/16,No,1:00-3:00 PM,30-34 C,,
66,398,2016,Mo052,B,2015_66self,66_B_398,6/11/16,No,1:00-3:00 PM,30-34 C,,
66,399,2016,Mo052,C,2015_66self,66_C_399,6/11/16,No,1:00-3:00 PM,30-34 C,,
66,400,2016,Mo052,D,2015_66self,66_D_400,6/11/16,No,1:00-3:00 PM,30-34 C,,
66,401,2016,Mo052,A,2015_66self,66_A_401,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
66,402,2016,Mo052,B,2015_66self,66_B_402,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
66,403,2016,Mo052,C,2015_66self,66_C_403,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
66,404,2016,Mo052,D,2015_66self,66_D_404,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
66,405,2016,Mo052,A,2015_66self,66_A_405,6/21/16,No,1:00-1:30PM,29-31 C,,
66,406,2016,Mo052,B,2015_66self,66_B_406,6/21/16,No,1:00-1:30PM,29-31 C,,
66,407,2016,Mo052,C,2015_66self,66_C_407,6/21/16,No,1:00-1:30PM,29-31 C,,
66,408,2016,Mo052,D,2015_66self,66_D_408,6/21/16,No,1:00-1:30PM,29-31 C,,
67,409,2016,Mo054,A,2015_67self,67_A_409,6/11/16,No,1:00-3:00 PM,30-34 C,,
67,410,2016,Mo054,B,2015_67self,67_B_410,6/11/16,No,1:00-3:00 PM,30-34 C,,
67,411,2016,Mo054,C,2015_67self,67_C_411,6/11/16,No,1:00-3:00 PM,30-34 C,,
67,412,2016,Mo054,D,2015_67self,67_D_412,6/11/16,No,1:00-3:00 PM,30-34 C,,
67,413,2016,Mo054,A,2015_67self,67_A_413,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
67,414,2016,Mo054,B,2015_67self,67_B_414,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
67,415,2016,Mo054,C,2015_67self,67_C_415,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
67,416,2016,Mo054,D,2015_67self,67_D_416,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
67,417,2016,Mo054,A,2015_67self,67_A_417,6/21/16,No,1:00-1:30PM,29-31 C,,
67,418,2016,Mo054,B,2015_67self,67_B_418,6/21/16,No,1:00-1:30PM,29-31 C,,
67,419,2016,Mo054,C,2015_67self,67_C_419,6/21/16,No,1:00-1:30PM,29-31 C,,
67,420,2016,Mo054,D,2015_67self,67_D_420,6/21/16,No,1:00-1:30PM,29-31 C,,
70,421,2016,Mo055,A,2015_70self,70_A_421,6/11/16,No,1:00-3:00 PM,30-34 C,,
70,422,2016,Mo055,B,2015_70self,70_B_422,6/11/16,No,1:00-3:00 PM,30-34 C,,
70,423,2016,Mo055,C,2015_70self,70_C_423,6/11/16,No,1:00-3:00 PM,30-34 C,,
70,424,2016,Mo055,D,2015_70self,70_D_424,6/11/16,No,1:00-3:00 PM,30-34 C,,
70,425,2016,Mo055,A,2015_70self,70_A_425,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
70,426,2016,Mo055,B,2015_70self,70_B_426,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
70,427,2016,Mo055,C,2015_70self,70_C_427,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
70,428,2016,Mo055,D,2015_70self,70_D_428,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
70,429,2016,Mo055,A,2015_70self,70_A_429,6/21/16,No,1:00-1:30PM,29-31 C,,
70,430,2016,Mo055,B,2015_70self,70_B_430,6/21/16,No,1:00-1:30PM,29-31 C,,
70,431,2016,Mo055,C,2015_70self,70_C_431,6/21/16,No,1:00-1:30PM,29-31 C,,
70,432,2016,Mo055,D,2015_70self,70_D_432,6/21/16,No,1:00-1:30PM,29-31 C,,
71,433,2016,Mo057,A,2011_39,71_A_433,6/11/16,No,1:00-3:00 PM,30-34 C,,
71,434,2016,Mo057,B,2011_39,71_B_434,6/11/16,No,1:00-3:00 PM,30-34 C,,
71,435,2016,Mo057,C,2011_39,71_C_435,6/11/16,No,1:00-3:00 PM,30-34 C,,
71,436,2016,Mo057,D,2011_39,71_D_436,6/11/16,No,1:00-3:00 PM,30-34 C,,
71,437,2016,Mo057,A,2011_39,71_A_437,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
71,438,2016,Mo057,B,2011_39,71_B_438,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
71,439,2016,Mo057,C,2011_39,71_C_439,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
71,440,2016,Mo057,D,2011_39,71_D_440,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
71,441,2016,Mo057,A,2011_39,71_A_441,6/21/16,No,1:00-1:30PM,29-31 C,,
71,442,2016,Mo057,B,2011_39,71_B_442,6/21/16,No,1:00-1:30PM,29-31 C,,
71,443,2016,Mo057,C,2011_39,71_C_443,6/21/16,No,1:00-1:30PM,29-31 C,,
71,444,2016,Mo057,D,2011_39,71_D_444,6/21/16,No,1:00-1:30PM,29-31 C,,
74,445,2016,Mo058,A,2015_74self,74_A_445,6/11/16,No,1:00-3:00 PM,30-34 C,,
74,446,2016,Mo058,B,2015_74self,74_B_446,6/11/16,No,1:00-3:00 PM,30-34 C,,
74,447,2016,Mo058,C,2015_74self,74_C_447,6/11/16,No,1:00-3:00 PM,30-34 C,,
74,448,2016,Mo058,D,2015_74self,74_D_448,6/11/16,No,1:00-3:00 PM,30-34 C,,
74,449,2016,Mo058,A,2015_74self,74_A_449,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
74,450,2016,Mo058,B,2015_74self,74_B_450,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
74,451,2016,Mo058,C,2015_74self,74_C_451,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
74,452,2016,Mo058,D,2015_74self,74_D_452,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
74,453,2016,Mo058,A,2015_74self,74_A_453,6/21/16,No,1:00-1:30PM,29-31 C,,
74,454,2016,Mo058,B,2015_74self,74_B_454,6/21/16,No,1:00-1:30PM,29-31 C,,
74,455,2016,Mo058,C,2015_74self,74_C_455,6/21/16,No,1:00-1:30PM,29-31 C,,
74,456,2016,Mo058,D,2015_74self,74_D_456,6/21/16,No,1:00-1:30PM,29-31 C,,
75,457,2016,Mo060,A,2015_75self,75_A_457,6/11/16,No,1:00-3:00 PM,30-34 C,,
75,458,2016,Mo060,B,2015_75self,75_B_458,6/11/16,No,1:00-3:00 PM,30-34 C,,
75,459,2016,Mo060,C,2015_75self,75_C_459,6/11/16,No,1:00-3:00 PM,30-34 C,,
75,460,2016,Mo060,D,2015_75self,75_D_460,6/11/16,No,1:00-3:00 PM,30-34 C,,
75,461,2016,Mo060,A,2015_75self,75_A_461,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
75,462,2016,Mo060,B,2015_75self,75_B_462,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
75,463,2016,Mo060,C,2015_75self,75_C_463,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
75,464,2016,Mo060,D,2015_75self,75_D_464,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate3,
75,465,2016,Mo060,A,2015_75self,75_A_465,6/21/16,No,1:00-1:30PM,29-31 C,,
75,466,2016,Mo060,B,2015_75self,75_B_466,6/21/16,No,1:00-1:30PM,29-31 C,,
75,467,2016,Mo060,C,2015_75self,75_C_467,6/21/16,No,1:00-1:30PM,29-31 C,,
75,468,2016,Mo060,D,2015_75self,75_D_468,6/21/16,No,1:00-1:30PM,29-31 C,,
78,469,2016,Mo061,A,2015_78,78_A_469,6/11/16,No,1:00-3:00 PM,30-34 C,,
78,470,2016,Mo061,B,2015_78,78_B_470,6/11/16,No,1:00-3:00 PM,30-34 C,,
